"State","Bank Failures","Year"
"NV",0,2021
"NV",0,2022
"NV",0,2023
"UT",0,2000
"UT",0,2001
"UT",0,2002
"UT",0,2003
"UT",1,2004
"UT",0,2005
"UT",0,2006
"UT",0,2007
"UT",0,2008
"UT",2,2009
"UT",3,2010
"UT",1,2011
"UT",0,2012
"UT",0,2013
"UT",0,2014
"UT",0,2015
"UT",0,2016
"UT",1,2017
"UT",0,2018
"UT",0,2019
"UT",0,2020
"UT",0,2021
"UT",0,2022
"UT",0,2023
"NH",0,2000
"NH",1,2001
"NH",0,2002
"NH",0,2003
"NH",0,2004
"NH",0,2005
"NH",0,2006
"NH",0,2007
"NH",0,2008
"NH",0,2009
"NH",0,2010
"NH",0,2011
"NH",0,2012
"NH",0,2013
"NH",0,2014
"NH",0,2015
"NH",0,2016
"NH",0,2017
"NH",0,2018
"NH",0,2019
"NH",0,2020
"NH",0,2021
"NH",0,2022
"NH",0,2023
"VT",0,2000
"VT",0,2001
"VT",0,2002
"VT",0,2003
"VT",0,2004
"VT",0,2005
"VT",0,2006
"VT",0,2007
"VT",0,2008
"VT",0,2009
"VT",0,2010
"VT",0,2011
"VT",0,2012
"VT",0,2013
"VT",0,2014
"VT",0,2015
"VT",0,2016
"VT",0,2017
"VT",0,2018
"VT",0,2019
"VT",0,2020
"VT",0,2021
"VT",0,2022
"VT",0,2023
"HI",1,2000
"HI",0,2001
"HI",0,2002
"HI",0,2003
"HI",0,2004
"HI",0,2005
"HI",0,2006
"HI",0,2007
"HI",0,2008
"HI",0,2009
"HI",0,2010
"HI",0,2011
"HI",0,2012
"HI",0,2013
"HI",0,2014
"HI",0,2015
"HI",0,2016
"HI",0,2017
"HI",0,2018
"HI",0,2019
"HI",0,2020
"HI",0,2021
"HI",0,2022
"HI",0,2023
"NJ",0,2000
"NJ",0,2001
"NJ",0,2002
"NJ",0,2003
"NJ",1,2004
"NJ",0,2005
"NJ",0,2006
"NJ",0,2007
"NJ",0,2008
"NJ",2,2009
"NJ",1,2010
"NJ",1,2011
"NJ",1,2012
"NJ",0,2013
"NJ",0,2014
"NJ",0,2015
"NJ",0,2016
"NJ",1,2017
"NJ",0,2018
"NJ",1,2019
"NJ",0,2020
"NJ",0,2021
"NJ",0,2022
"NJ",0,2023
"VA",0,2000
"VA",0,2001
"VA",0,2002
"VA",0,2003
"VA",0,2004
"VA",0,2005
"VA",0,2006
"VA",0,2007
"VA",0,2008
"VA",1,2009
"VA",1,2010
"VA",2,2011
"VA",0,2012
"VA",0,2013
"VA",1,2014
"VA",0,2015
"VA",0,2016
"VA",0,2017
"VA",0,2018
"VA",0,2019
"VA",0,2020
"VA",0,2021
"VA",0,2022
"VA",0,2023
"ID",0,2000
"ID",0,2001
"ID",0,2002
"ID",0,2003
"ID",0,2004
"ID",0,2005
"ID",0,2006
"ID",0,2007
"ID",0,2008
"ID",1,2009
"ID",0,2010
"ID",0,2011
"ID",0,2012
"ID",0,2013
"ID",1,2014
"ID",0,2015
"ID",0,2016
"ID",0,2017
"ID",0,2018
"ID",0,2019
"ID",0,2020
"ID",0,2021
"ID",0,2022
"ID",0,2023
"NM",0,2000
"NM",0,2001
"NM",0,2002
"NM",0,2003
"NM",0,2004
"NM",0,2005
"NM",0,2006
"NM",0,2007
"NM",0,2008
"NM",0,2009
"NM",2,2010
"NM",1,2011
"NM",0,2012
"NM",0,2013
"NM",0,2014
"NM",0,2015
"NM",0,2016
"NM",0,2017
"NM",0,2018
"NM",0,2019
"NM",0,2020
"NM",0,2021
"NM",0,2022
"NM",0,2023
"IL",1,2000
"IL",1,2001
"IL",1,2002
"IL",0,2003
"IL",0,2004
"IL",0,2005
"IL",0,2006
"IL",0,2007
"IL",1,2008
"IL",21,2009
"IL",16,2010
"IL",9,2011
"IL",8,2012
"IL",1,2013
"IL",5,2014
"IL",2,2015
"IL",0,2016
"IL",3,2017
"IL",0,2018
"IL",0,2019
"IL",0,2020
"IL",0,2021
"IL",0,2022
"IL",0,2023
"NY",0,2000
"NY",0,2001
"NY",0,2002
"NY",0,2003
"NY",1,2004
"NY",0,2005
"NY",0,2006
"NY",0,2007
"NY",0,2008
"NY",1,2009
"NY",3,2010
"NY",0,2011
"NY",0,2012
"NY",0,2013
"NY",0,2014
"NY",0,2015
"NY",0,2016
"NY",0,2017
"NY",0,2018
"NY",0,2019
"NY",0,2020
"NY",0,2021
"NY",0,2022
"NY",1,2023
"WA",0,2000
"WA",0,2001
"WA",0,2002
"WA",0,2003
"WA",0,2004
"WA",0,2005
"WA",0,2006
"WA",0,2007
"WA",0,2008
"WA",3,2009
"WA",11,2010
"WA",3,2011
"WA",0,2012
"WA",1,2013
"WA",0,2014
"WA",1,2015
"WA",0,2016
"WA",0,2017
"WA",0,2018
"WA",0,2019
"WA",0,2020
"WA",0,2021
"WA",0,2022
"WA",0,2023
"IN",0,2000
"IN",0,2001
"IN",0,2002
