"State","Year","Overweight Adults (%)"
"KY",2013,24.3
"GA",2011,24.3
"TN",2011,24.3
"VA",2021,24.3
"OH",2018,24.4
"NY",2018,24.4
"IN",2018,24.4
"MN",2018,24.4
"NC",2018,24.4
"WA",2020,24.4
"MO",2017,24.4
"TX",2013,24.4
"NJ",2011,24.4
"NM",2012,24.4
"WY",2013,24.4
"OK",2016,24.4
"TX",2021,24.4
"NY",2021,24.4
"OH",2022,24.4
"NH",2018,24.5
"SD",2020,24.5
"HI",2020,24.5
"ID",2020,24.5
"MA",2017,24.5
"ID",2017,24.5
"WV",2019,24.5
"RI",2012,24.5
"WA",2013,24.5
"MT",2014,24.5
"MN",2014,24.5
"IN",2012,24.5
"HI",2013,24.5
"ND",2016,24.5
"CA",2016,24.5
"SD",2021,24.5
"PA",2021,24.5
"KY",2021,24.5
"WY",2022,24.5
"ND",2018,24.6
"AK",2018,24.6
"SD",2020,24.6
"WI",2015,24.6
"CA",2013,24.6
"AK",2011,24.6
"NE",2013,24.6
"WI",2017,24.6
"LA",2011,24.6
"IL",2015,24.6
"CA",2021,24.6
"CA",2022,24.6
"VA",2022,24.6
"AK",2018,24.7
"OK",2020,24.7
"WV",2020,24.7
"GA",2017,24.7
"IN",2011,24.7
"MI",2011,24.7
"LA",2013,24.7
"NV",2016,24.7
"KS",2021,24.7
"MI",2021,24.7
"NV",2021,24.7
"MA",2021,24.7
"KS",2021,24.7
"ND",2021,24.7
"SD",2021,24.7
"IA",2022,24.7
"OK",2022,24.7
"KY",2020,24.8
"MA",2018,24.8
"NV",2018,24.8
"IN",2018,24.8
"AR",2020,24.8
"IN",2014,24.8
"NY",2019,24.8
"WY",2011,24.8
"AL",2019,24.8
"WY",2019,24.8
"NM",2014,24.8
"AR",2015,24.8
"LA",2011,24.8
"AL",2013,24.8
"VT",2012,24.8
"WA",2016,24.8
"TN",2016,24.8
"TN",2022,24.8
"AR",2022,24.8
"AL",2018,24.9
"IN",2018,24.9
"GA",2020,24.9
"MA",2020,24.9
"PA",2020,24.9
"MI",2015,24.9
"PA",2012,24.9
"KS",2015,24.9
